0,1,2
هﺪﺷهداد صﺎﺼﺘﺧا ﻎﻠﺒﻣ,ناﻮﻨﻋ,ﻒﯾدر
ورﻮﯾ نﻮﯿﻠﯿﻣ 100 ﻒﻘﺳ ﺎﺗ,ﻦﯾﻮﻧ و رﺎﺸﻓ ﺖﺤﺗ يرﺎﯿﺑآ حﺮﻃ,1
ورﻮﯾ نﻮﯿﻠﯿﻣ 100 ﻒﻘﺳ ﺎﺗ,يراﺪﻧاﻮﺨﺑآ و يرادﺰﯿﺨﺑآ,2
ورﻮﯾ نﻮﯿﻠﯿﻣ 20 ﻒﻘﺳ ﺎﺗ,قﺮﺑ يﺎﻫﻪﮑﺒﺷ ﺮﺑ نآ ﺮﯿﺛﺄﺗ و ﺎﻫدﺮﮔﺰﯾر بﺮﺨﻣ تاﺮﺛا ﺎﺑ ﻪﻠﺑﺎﻘﻣ,3
ورﻮﯾ درﺎﯿﻠﯿﻣ 2ﻒﻘﺳ ﺎﺗ,ﻪﻌﺳﻮﺗ ﻢﺸﺷ ﻪﻣﺎﻧﺮﺑ نﻮﻧﺎﻗ (106)هدﺎﻣ ياﺮﺟا رد ﯽﻋﺎﻓد ﻪﯿﻨﺑ ﺖﯾﻮﻘﺗ,4
ورﻮﯾ نﻮﯿﻠﯿﻣ 30 ﻒﻘﺳ ﺎﺗ,"يروﺎﻨﻓ و تﺎﻘﯿﻘﺤﺗ ،مﻮﻠﻋ ترازو يﺎﻬﻫﺎﮕﺸﻧاد ﯽﻫﺎﮔرﺎﮐ و ﯽﻫﺎﮕﺸﯾﺎﻣزآ تاﺰﯿﻬﺠﺗ
ﯽﮑﺷﺰﭘ شزﻮﻣآو نﺎﻣرد ،ﺖﺷاﺪﻬﺑ ترازو و",5
ورﻮﯾ نﻮﯿﻠﯿﻣ 15 ﻒﻘﺳ ﺎﺗ,ﯽﻫﺎﮕﺸﻧاد دﺎﻬﺟ ﻪﻧاروآﻮﻧ يﺎﻬﺣﺮﻃ,6
ورﻮﯾ نﻮﯿﻠﯿﻣ 70 ﻒﻘﺳ ﺎﺗ,رﻮﻬﻤﺟﺲﯿﺋر يروﺎﻨﻓ و ﯽﻤﻠﻋ ﺖﻧوﺎﻌﻣ ﻪﻧاروآﻮﻧ يﺎﻬﺣﺮﻃ,7
ورﻮﯾ نﻮﯿﻠﯿﻣ 150 ﻒﻘﺳ ﺎﺗ,"و ﯽﻤﮐ ﻪﻌﺳﻮﺗ و ﻢﺸﺷ ﻪﻣﺎﻧﺮﺑ نﻮﻧﺎﻗ (93) هدﺎﻣ ياﺮﺟا رد ﺎﻤﯿﺳ و اﺪﺻ نﺎﻣزﺎﺳ
لﺎﯾﺮﺳ و ﻢﻠﯿﻓ ،ﺪﻨﺘﺴﻣ ،ﯽﯾﺎﻤﻧﺎﯾﻮﭘ ،يﺪﯿﻟﻮﺗ يﺎﻫﻪﻣﺎﻧﺮﺑ ﯽﻔﯿﮐ",8
ورﻮﯾ نﻮﯿﻠﯿﻣ 100 ﻒﻘﺳ ﺎﺗ,نآ يﺎﻫﻪﮑﺒﺷ ﻪﻌﺳﻮﺗ و يﺮﯾﺎﺸﻋ و ﯽﯾﺎﺘﺳور ﯽﻧﺎﺳﺮﺑآ يﺎﻬﺣﺮﻃ,9
ورﻮﯾ نﻮﯿﻠﯿﻣ 35 ﻒﻘﺳ ﺎﺗ,رﻮﻬﻤﺟﺲﯿﺋر يروﺎﻨﻓ و ﯽﻤﻠﻋ ﺖﻧوﺎﻌﻣ نﺎﯿﻨﺑ ﺶﻧاد يﺎﻬﺘﮐﺮﺷ,10
ورﻮﯾ نﻮﯿﻠﯿﻣ 25 ﻒﻘﺳ ﺎﺗ,رﻮﻬﻤﺟﺲﯿﺋر يروﺎﻨﻓ و ﯽﻤﻠﻋ ﺖﻧوﺎﻌﻣ يروآﻮﻧ يﺎﻫﻪﻧﺎﺧرﺎﮐ,11
ورﻮﯾ نﻮﯿﻠﯿﻣ 100 ﻒﻘﺳ ﺎﺗ,تاردﺎﺻ ﺖﻧﺎﻤﺿ قوﺪﻨﺻ رد ﺖﻟود ﻪﯾﺎﻣﺮﺳ ﺶﯾاﺰﻓا,12
ورﻮﯾ نﻮﯿﻠﯿﻣ 50 ﻒﻘﺳ ﺎﺗ,زاﻮﻫا ﺮﻬﺷ بﻼﺿﺎﻓ حﺮﻃ,13
