هدشهداد صاصتخا غلبم,ناونع,فيدر
وروي نویلیم 100 فقس ات,نيون و راشف تحت یرایبآ حرط,1
وروي نویلیم 100 فقس ات,یرادناوخبآ و یرادزیخبآ,2
وروي نویلیم 20 فقس ات,رب یاههكبش رب نآ ریثأت و اهدرگزير برخم تارثا اب هلباقم,3
وروي درایلیم 2فقس ات,ه سوت صشش همانرب نوناق )106 هدام یارجا رد يعافد هینب تيوقت,4
وروي نویلیم 30 فقس ات,"و تاقیقحت ،مولع ترازو یاههاجشناد يهاگراک و يهاجشيامزآ تازیهجت
يكشزپ شزومآ و نامرد ،تشادهب ترازو و یروانف",5
وروي نویلیم 15 فقس ات,يهاجشناد داهج هناروآون یاهحرط,6
وروي نویلیم 70 فقس ات,روهمجسیئر یروانف و يملع تنوا م هناروآون یاهحرط,7
وروي نویلیم 150 فقس ات,"و يمک ه سوت و صشش همانرب نوناق )93 هدام یارجا رد امیس و اد نامزاس
لايرس و صلیف ،دنتسم ،ييامنايوپ ،یدیلوت یاههمانرب يفیک",8
وروي نویلیم 100 فقس ات,نآ یاههكبش ه سوت و یرياشع و يياتسور يناسربآ یاهحرط,9
وروي نویلیم 35 فقس ات,روهمجسیئر یروانف و يملع تنوا م ناینبشناد یاهتکرش,10
وروي نویلیم 25 فقس ات,روهمجسیئر یروانف و يملع تنوا م یروآون یاههناخراک,11
وروي نویلیم 100 فقس ات,تاردا تنامض ودن رد تلود هيامرس شيازفا,12
وروي نویلیم 50 فقس ات,زاوها رهش بمضاف حرط,13
